SDSSJ0107+2107,ZTF18abvsplm,01:07:49.30,+21:07:44.48,19.11,Guidry2021
ZTFJ0139+5245,ZTF18abkkzzw,01:39:06.31,+52:45:37.05,18.44,Vanderbosch2020
ZTFJ0328-1219,ZTF18abycutn,03:28:33.66,-12:19:45.64,16.61,vanderbosch2021,guidry2021
ZTFJ0347-1802,ZTF19abpnrti,03:47:03.35,-18:02:53.51,17.39,Guidry2021
ZTFJ0923+4236,ZTF18aacdxxf,09:23:11.39,+42:36:33.70,17.14,Guidry2021
WDJ0923+7326,ZTF18acanduo,09:23:51.44,73:26:23.68,18.24,Bhattacharjee2025
WDJ1013-0427,ZTF20aaelume,10:13:06.34,-04:27:29.90,18.25,Bhattacharjee2025
WD1054-226,-,10:56:38.63,-22:52:56.08,19.18,Fahiri2024
WD1145+017,ZTF19aaprzep,11:48:33.54,+01:28:59.40,17.43,Vanderburg2015
SBSS1232+563,ZTF23aaphnue,12:34:32.58,56:06:42.84,18.04,guidry2021,hermes2025
WD1237+5937,-,12:37:54.23,59:37:27.29,20.12,Bhattacharjee2025
ZTFJ1302+1650,ZTF19aaczxaz,13:02:17.67,16:50:08.43,19.18,bhattacharjee2025
%WDJ1302+1650,ZTF19aaczxaz,13:02:17.67,16:50:08.43,19.18,Bhattacharjee2025
WDJ1650+1443,-,16:50:50.01,14:43:22.46,18.8,Bhattacharjee2025
WD1944+4557,ZTF18aazufsq,19:44:31.88,45:57:53.22,19.36,Bhattacharjee2025
