# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-01 at 05:31:54
#
# Requested input R.A. = 48.2522992 degrees
# Requested input Dec. = 52.1128168 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2490000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 777 3 1 ZTF_g 452145020815 0 2.8108 147.229 15.6614 26.2569 3.00046e-05 0.0461079 -0.125324 3.29076e-05 1735 30. 0.066856 0.065521 19.1036 26.2569 1 2458206.6450231 777120108 108.62497501591 69.430084 1.740351 1.091365 133.5258060141 109.295746 1.229921 1.038078 0.0576830971136306 19.0909997940063 0.0199999995529652 0.791999995708466 -0.0189999993890524 2458304.971076 2458366.939444 0
 1 777 3 1 ZTF_g 452164810815 0 3.125 142.662 16.385 26.1966 3.91979e-05 0.0485489 -0.107264 4.39959e-05 1456 30. 0.075825 0.071285 18.9322 26.1966 1 2458206.6648148 777120108 12.67997364794 84.795158 0.166342 1.005617 -53.10617883012 128.278931 -0.416778 1.044894 0.0576830971136306 19.0909997940063 0.0199999995529652 0.791999995708466 -0.0189999993890524 2458304.971076 2458366.939444 0
 2 777 3 1 ZTF_g 544467660815 0 3.1528 138.038 17.218 26.1322 3.75763e-05 0.0467356 -0.0557216 4.24039e-05 1300 30. 0.075475 0.062302 18.8663 26.1322 1 2458298.967662 777120108 -20.66553494558 103.555908 -0.221987 0.969169 -156.4460071408 149.270660 -1.055128 1.099087 0.0576830971136306 19.0909997940063 0.0199999995529652 0.791999995708466 -0.0189999993890524 2458304.971076 2458366.939444 0
 3 777 3 1 ZTF_g 549449290815 0 3.8715 139.646 10.7785 26.188 2.37709e-05 0.0433384 -0.12464 2.64424e-05 2028 30. 0.07848 0.070566 19.3486 26.188 1 2458303.949294 777120108 -35.65732052183 55.783546 -0.711046 1.081478 -96.6532647013 78.938759 -1.232655 1.064746 0.0576830971136306 19.0909997940063 0.0199999995529652 0.791999995708466 -0.0189999993890524 2458304.971076 2458366.939444 0
 4 777 3 1 ZTF_r 549473200815 0 2.8713 213.243 11.181 26.1546 3.3277e-06 0.016699 0.0714905 3.62607e-06 2185 30. 0.048872 0.052179 19.5707 26.1546 1 2458303.973206 777120208 -33.1357465296 49.040607 -0.751615 1.288514 -50.40623510644 83.370293 -0.608679 1.047036 0.0102710841401453 18.9650000572205 0.025000000372529 1.18299996852875 -0.0109999999403954 2458303.973206 2458347.944780 0
 5 777 3 1 ZTF_g 550471070815 0 2.7309 150.693 8.90668 26.2586 1.24407e-05 0.0323142 -0.111678 1.35692e-05 2179 30. 0.055333 0.054762 19.8627 26.2586 1 2458304.9710764 777120108 51.28451966936 43.779930 1.303065 0.958596 49.60613880109 73.074142 0.683419 1.045088 0.0576830971136306 19.0909997940063 0.0199999995529652 0.791999995708466 -0.0189999993890524 2458304.971076 2458366.939444 0
 6 777 3 1 ZTF_g 551468150815 0 3.2963 141.192 8.01817 26.2272 1.5199e-05 0.0358273 -0.141471 1.65233e-05 2152 30. 0.068143 0.062528 19.782 26.2272 1 2458305.9681597 777120108 54.5877777426 40.628853 1.494568 1.171209 68.56113977893 63.377533 1.089075 1.048290 0.0576830971136306 19.0909997940063 0.0199999995529652 0.791999995708466 -0.0189999993890524 2458304.971076 2458366.939444 0
 7 777 3 1 ZTF_g 553466860815 0 2.4692 111.639 7.42014 25.9455 1.29548e-05 0.0331027 -0.0887893 1.40187e-05 2159 30. 0.063461 0.05143 19.8542 25.9455 1 2458307.9668634 777120108 15.73525174565 32.740643 0.534615 1.025227 4.18028255647 58.336533 0.072141 1.043656 0.0576830971136306 19.0909997940063 0.0199999995529652 0.791999995708466 -0.0189999993890524 2458304.971076 2458366.939444 0
 8 777 3 1 ZTF_r 556449560815 0 1.7326 186.217 6.2483 25.9525 3.3436e-06 0.0165974 0.0948493 3.59415e-06 2147 30. 0.051635 0.05247 20.3011 25.9525 1 2458310.9495602 777120208 -27.5107923529 25.435183 -1.203159 8.328520 14.4769270633 47.863739 0.304498 1.054138 0.0102710841401453 18.9650000572205 0.025000000372529 1.18299996852875 -0.0109999999403954 2458303.973206 2458347.944780 0
