# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-01 at 05:33:54
#
# Requested input R.A. = 296.0633604 degrees
# Requested input Dec. = -24.8586402 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2490000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 285 6 1 ZTF_g 481500812015 0 3.2327 287.426 11.6473 26.1082 5.1362e-06 0.0254779 -0.0381337 1.60658e-05 2002 30. 0.059498 0.067907 19.3488 26.1082 1 2458236.0008102 285120120 20.75562792104 62.922665 0.366930 1.147098 95.10212670495 88.945793 1.076416 1.112310 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 1 285 6 1 ZTF_r 495486042015 8 4.6603 417.93 8.61646 26.1402 5.0815e-06 0.0252427 0.0999684 1.58049e-05 1990 30. 0.094516 0.101639 19.438 26.1402 1 2458249.9860417 285120220 -2.936755196 60.790611 -0.053739 1.104332 -4.74140834202 73.565353 -0.064886 1.273334 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 2 285 6 1 ZTF_g 498459312015 0 2.9697 283.292 5.60341 26.1166 3.0296e-06 0.0190842 -0.0818402 9.55837e-06 2029 30. 0.066206 0.083442 20.169 26.1166 1 2458252.9593171 285120120 14.27461068347 29.803017 0.532793 0.937409 -41.39507975618 45.723270 -0.911437 1.062101 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 3 285 6 1 ZTF_r 498481552015 0 4.1558 429.458 8.36087 26.2198 2.5905e-06 0.0178263 0.0691995 8.11374e-06 2030 30. 0.070458 0.083496 19.6525 26.2198 1 2458252.9815509 285120220 4.02426527513 51.547756 0.086842 0.992499 35.06404265531 70.046272 0.503955 1.089864 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 4 285 6 1 ZTF_g 504480502015 0 2.4584 279.972 7.86493 26.0811 3.192e-06 0.0203106 -0.0380973 9.92673e-06 2041 30. 0.065389 0.072111 20.0659 26.0811 1 2458258.9805093 285120120 -61.3800174952 34.123543 -2.000911 0.923915 71.93168893643 56.058300 1.291801 1.076818 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 5 285 6 1 ZTF_r 514417922015 0 2.4629 427.976 21.5968 26.1983 2.8506e-06 0.0192364 0.0629422 8.86243e-06 2065 30. 0.049517 0.056312 18.8921 26.1983 1 2458268.9179282 285120220 77.35022583799 94.070023 0.914671 1.035397 203.95795046889 162.992523 1.259761 1.042699 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 6 285 6 1 ZTF_g 514481052015 0 2.786 285.51 24.837 26.1093 1.23436e-05 0.0391494 -0.0366594 3.83516e-05 1965 30. 0.053073 0.063157 18.5845 26.1093 1 2458268.9810532 285120120 -38.14231991961 134.533630 -0.315378 0.987044 267.33431500737 207.192032 1.298963 1.081599 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 7 285 6 1 ZTF_r 519396932015 0 1.9888 435.985 13.7593 26.1944 1.5604e-06 0.0140953 0.080664 4.84896e-06 2044 30. 0.046502 0.059704 19.721 26.1944 1 2458273.8969329 285120220 -127.7343146811 48.898544 -2.905805 0.963943 -261.44641833025 91.708748 -2.870034 1.046366 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 8 285 6 1 ZTF_g 522396512015 0 2.6817 283.466 6.913 26.0955 2.4662e-06 0.0174943 -0.0658966 7.75245e-06 2005 30. 0.050005 0.058602 20.0116 26.0955 1 2458276.8965162 285120120 6.26543524187 37.425282 0.186226 0.955111 -44.43732605234 60.630383 -0.737858 1.062556 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
