# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.1 on 2026-04-06 at 09:40:57
#
# Requested input R.A. = 35.8456187 degrees
# Requested input Dec. = 36.9921284 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2490000 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 653 16 2 ZTF_g 452142716115 0 4.6869 55.8924 16.5419 25.8013 4.56607e-05 0.0467905 -0.0558345 0.000142278 463 30. 0.097572 0.077925 18.1642 25.8013 1 2458206.6427199 653120161 1 32.06772252419 121.897697 0.292636 0.999739 124.09690917679 152.818649 0.817523 1.126760 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 1 653 16 1 ZTF_g 452142716015 0 4.3034 58.9495 16.863 25.8996 3.94042e-05 0.0420647 -0.0648531 0.000130791 461 30. 0.080751 0.070054 18.3029 25.8996 1 2458206.6427199 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
 2 698 3 3 ZTF_g 452143171015 0 3.3363 67.9012 18.8668 25.9794 3.20774e-05 0.0486441 -0.0833 0.000102607 621 30. 0.085035 0.07704 18.4979 25.9794 1 2458206.6431713 698120110 1 -136.43517202422 108.749237 -1.395581 0.952907 -167.9976461872 157.488953 -1.073911 1.050002 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 3 652 13 1 ZTF_r 528481594815 0 3.3061 146.992 18.285 25.3442 1.73153e-05 0.0465321 0.0970427 3.7604e-05 813 30. 0.071707 0.061992 17.9886 25.3442 1 2458282.9815972 652120248 1 -118.67180350492 102.743896 -1.284832 0.973410 -230.42723133932 156.567139 -1.481659 1.079869 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 4 652 13 1 ZTF_r 534466424815 0 3.5011 263.934 7.95225 25.9383 4.7628e-06 0.0362797 0.0844102 9.0146e-06 1583 30. 0.065334 0.061738 19.4076 25.9383 1 2458288.9664236 652120248 1 26.17148617059 45.010986 0.646792 1.109939 14.36406519448 60.710583 0.238193 1.136411 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 5 698 3 3 ZTF_r 534466881015 0 3.6166 161.114 7.63127 26.0691 5.5647e-06 0.0384708 0.0988742 1.10983e-05 1497 30. 0.076185 0.067 19.6017 26.0691 1 2458288.9668866 698120210 1 -76.94124123443 58.330452 -1.467299 0.837544 -75.15030636288 76.968384 -0.982955 1.153219 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 6 652 13 1 ZTF_g 537449934815 0 3.4772 55.0122 4.66919 25.9306 7.1481e-06 0.0418634 -0.0530995 1.48396e-05 1465 30. 0.075408 0.052833 19.9635 25.9306 1 2458291.9499306 652120148 1 -11.37014019708 31.098572 -0.406706 1.005458 51.54364756807 45.441166 1.141934 1.118582 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 7 652 13 1 ZTF_r 540482474815 0 2.4379 274.322 14.3645 26.0126 4.1262e-06 0.0333281 0.069211 7.7892e-06 1548 30. 0.048619 0.045412 19.129 26.0126 1 2458294.9824769 652120248 1 11.8878084757 69.895721 0.189193 1.047523 -26.79683576934 123.735275 -0.218024 1.064185 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 8 652 13 1 ZTF_r 543428044815 0 3.2479 257.159 15.2579 25.9276 7.0953e-06 0.0407541 0.0805075 1.37187e-05 1354 30. 0.057639 0.057155 18.7462 25.9276 1 2458297.928044 652120248 1 66.74410586039 89.398323 0.830498 0.950580 140.90109005177 137.213440 1.033791 1.070878 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 9 698 3 3 ZTF_r 543428491015 0 2.2443 156.115 16.4263 26.0413 5.2184e-06 0.036807 0.0936843 1.03409e-05 1459 30. 0.047592 0.045368 19.0898 26.0413 1 2458297.9284954 698120210 1 -73.40824778181 75.684494 -1.078929 1.054101 -281.91491582199 133.392670 -2.127656 1.049064 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
