# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2025-01-07 at 06:00:08
#
# Requested input R.A. = 3.9132573 degrees
# Requested input Dec. = 30.6373626 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2490000.0 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 648 1 0 ZTF_g 509484280015 0 2.7737 99.2357 15.1491 26.0943 2.43866e-05 0.0371146 -0.03011 5.71573e-05 488 30. 0.061957 0.051624 19.0638 26.0943 1 2458263.9842824 648120100 225.536159758898 91.1393790141139 2.75273824847645 0.969606396043643 186.472944948917 138.243554971943 1.35795734564228 1.10407970323958 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 1 648 1 0 ZTF_r 514447960015 0 2.4406 264.544 13.1185 25.9923 9.5272e-06 0.0341856 0.0833632 1.49624e-05 867 30. 0.081117 0.058759 19.2122 25.9923 1 2458268.947963 648120200 -5.07896921904446 64.1832623389239 -0.0880255189363084 1.00497903330314 -87.4044730326098 111.64888484141 -0.788123834038125 1.04446585340644 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 2 648 1 0 ZTF_r 517443650015 0 2.1578 260.766 10.0516 25.966 6.8989e-06 0.0291629 0.0981627 1.0896e-05 868 30. 0.079808 0.054443 19.5938 25.966 1 2458271.9436574 648120200 -1.31116540507276 50.6588458728453 -0.028791016053669 0.892714757565595 -122.28649610481 90.0854040156105 -1.36659322380887 1.058272135876 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 3 648 1 0 ZTF_r 519430520015 0 2.2166 266.181 8.71205 26.0013 6.5802e-06 0.028494 0.0949439 1.03439e-05 871 30. 0.067173 0.046443 19.815 26.0013 3 2458273.9305208 648120200 -5.22543728620133 37.8765305579106 -0.153464260019188 1.06138545519468 -51.1660452390704 67.5400944365998 -0.762667744652661 1.04997079125105 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 4 648 1 0 ZTF_g 519471860015 0 2.1863 101.481 9.41626 26.0839 1.34936e-05 0.0374439 -0.0064275 2.53521e-05 761 30. 0.058986 0.043542 19.7508 26.0839 3 2458273.9718634 648120100 0.863961002305929 45.7035420461287 0.0210280538887467 1.01064235430473 4.9112941303772 80.5340781867227 0.0613947795795507 1.06446261794307 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 5 648 1 0 ZTF_g 520452520015 0 2.4828 99.6332 7.75983 26.0748 1.24536e-05 0.0362248 -0.0275542 2.30877e-05 768 30. 0.060696 0.046944 19.8874 26.0748 1 2458274.9525231 648120100 -32.3886690494319 40.2572077372843 -0.894961296624897 0.903955454263098 -52.0399466375585 66.2860189181671 -0.790369364872467 1.07032299752872 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 6 648 1 0 ZTF_g 520453430015 0 2.5658 99.019 7.72786 26.0857 1.44234e-05 0.0387732 -0.0390446 2.69802e-05 770 30. 0.06343 0.046385 19.876 26.0857 3 2458274.9534375 648120100 21.5415729915213 43.2085576391191 0.554577754189013 0.94124238931577 85.5869143530336 70.0826649914403 1.22945306312139 1.07185445770114 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 7 648 1 0 ZTF_r 520466820015 0 2.2917 283.209 7.62809 26.0601 5.8676e-06 0.0268183 0.0906446 9.29206e-06 862 30. 0.062566 0.042834 19.9795 26.0601 3 2458274.9668287 648120200 69.6934536648591 36.8917771712002 2.10144104629578 0.87757633689267 141.731258954259 64.6259579987599 2.20787175240866 1.05105707012284 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 8 648 1 0 ZTF_r 520478560015 0 1.8652 286.613 9.34883 26.0641 5.9413e-06 0.0270179 0.0986527 9.3775e-06 863 30. 0.057243 0.038427 20.0312 26.0641 1 2458274.9785648 648120200 -26.093900724533 32.4335248019818 -0.894951823921942 1.01763455028444 -113.663683155188 61.3130665323307 -1.86631041428223 1.05293644423385 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
