# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-04-07 at 13:18:29
#
# Requested input R.A. = 177.13975 degrees
# Requested input Dec. = 1.48317 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2490000.0 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 472 3 2 ZTF_g 448290621015 0 2.6576 291.49 7.66945 26.2555 2.47032e-05 0.0380975 -0.0226067 4.19474e-05 334 30. 0.059087 0.052049 20.074 26.2555 1 2458202.790625 472120110 1 105.000183026957 41.0487691362792 2.84540911259259 1.05084643461779 195.079107617481 63.3638213065261 3.09944969513567 1.0848082530276 0.520060796823986 17.0680000305176 0.0160000007599592 0.674000024795532 -0.0260000005364418 2458202.790625 2458465.001042 0
 1 472 3 2 ZTF_g 448292011015 0 2.3685 292.946 7.67218 26.272 2.26843e-05 0.0372227 -0.0396537 3.71698e-05 348 30. 0.053298 0.052732 20.1783 26.272 1 2458202.7920139 472120110 1 15.1992550975756 39.9007381320989 0.423736792936684 1.10131180036313 46.4644621535654 64.2558803624677 0.727986337057818 1.08104311064056 0.520060796823986 17.0680000305176 0.0160000007599592 0.674000024795532 -0.0260000005364418 2458202.790625 2458465.001042 0
 2 472 3 2 ZTF_g 451308401015 0 2.6012 294.38 14.689 26.2896 4.16694e-05 0.044398 -0.0429666 8.49417e-05 268 30. 0.062536 0.048643 19.3792 26.2896 1 2458205.8084028 472120110 1 126.221617823025 71.5707549530613 1.9617919365056 1.08955194744167 122.348514330456 114.815784841208 1.07278401470784 1.05245808703384 0.520060796823986 17.0680000305176 0.0160000007599592 0.674000024795532 -0.0260000005364418 2458202.790625 2458465.001042 0
 3 472 3 2 ZTF_g 451316681015 0 2.3434 294.526 14.7542 26.2841 3.26944e-05 0.0409669 -0.0354383 6.57451e-05 282 30. 0.058454 0.046672 19.508 26.2841 1 2458205.8166898 472120110 1 -25.3921888784487 56.6589184623074 -0.498524677010073 1.10500614921844 -35.0578803408436 95.8435383320563 -0.368245974597815 1.04856015772035 0.520060796823986 17.0680000305176 0.0160000007599592 0.674000024795532 -0.0260000005364418 2458202.790625 2458465.001042 0
 4 472 3 2 ZTF_g 456285631015 0 2.747 189.798 20.1625 25.8588 0.000151465 0.0587655 -0.0417935 0.000388079 149 30. 0.059109 0.057095 18.5313 25.8588 1 2458210.7856366 472120110 1 -197.539149445171 116.185950586739 -1.89127362026655 1.01728334229505 -313.956621977012 175.862082035112 -1.7972671210977 1.0817477576706 0.520060796823986 17.0680000305176 0.0160000007599592 0.674000024795532 -0.0260000005364418 2458202.790625 2458465.001042 0
 5 472 3 2 ZTF_g 456303291015 0 2.3997 249.676 18.6073 26.1053 3.99167e-05 0.0382129 -0.0286361 8.53678e-05 209 30. 0.056463 0.05287 19.0323 26.1053 1 2458210.8032986 472120110 1 -255.802990883255 94.141501774155 -3.02259038895214 0.910945020917177 -330.219307110338 152.133234794822 -2.18521188740396 1.06586593407764 0.520060796823986 17.0680000305176 0.0160000007599592 0.674000024795532 -0.0260000005364418 2458202.790625 2458465.001042 0
 6 472 3 2 ZTF_r 460239611015 0 3.1312 145.737 8.43318 25.4288 3.28451e-05 0.0436281 0.12118 4.99285e-05 344 30. 0.081274 0.056963 18.964 25.4288 1 2458214.7396181 472120210 1 -77.0739400571605 48.2658128374089 -1.77632626552868 1.04144969449251 -12.2796080332798 70.5259109972355 -0.175287518092104 1.09466772827368 0.525815337813406 17.3739999771118 0.0140000004321337 0.437000006437302 -0.025000000372529 2458165.867153 2458447.997419 0
 7 472 3 2 ZTF_g 460270621015 33554432 8.3287 38.8806 6.45779 24.1312 0.000481088 0.070532 -0.042714 0.00132868 86 30. 0.09061 0.067893 17.9109 24.1312 1 2458214.770625 472120110 1 26.5864416607608 42.7560493835449 0.691699475189271 0.966820546505284 23.8145587524707 58.8613799520306 0.407312081289557 1.13942398157904 0.520060796823986 17.0680000305176 0.0160000007599592 0.674000024795532 -0.0260000005364418 2458202.790625 2458465.001042 0
 8 472 3 2 ZTF_r 463242361015 0 1.8069 252.446 6.39945 26.0456 8.4441e-06 0.0231792 0.104823 1.29575e-05 374 30. 0.055518 0.049626 20.3743 26.0456 1 2458217.7423611 472120210 1 -118.434036589724 23.1370081524928 -5.69408745410669 1.3423089132354 -171.548538681952 44.8227964738656 -3.85303777422056 1.03542172744726 0.525815337813406 17.3739999771118 0.0140000004321337 0.437000006437302 -0.025000000372529 2458165.867153 2458447.997419 0
