# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-04-07 at 13:47:58
#
# Requested input R.A. = 164.16096 degrees
# Requested input Dec. = -22.88224 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2490000.0 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 267 10 0 ZTF_g 450279603615 0 4.306 303.122 12.6828 26.1678 5.97772e-05 0.0466077 -0.10192 0.000151429 284 30. 0.082682 0.072919 18.9073 26.1678 1 2458204.7796065 267120136 1 124.304464536783 94.2862999167255 1.46653669839448 1.08442672988011 225.998280116505 118.489282666098 1.92017696804724 1.09995965629026 null null null null null 2458204.779607 2458506.963553 57
 1 267 10 0 ZTF_g 450295573615 0 4.4966 300.234 12.802 26.1283 7.61582e-05 0.050206 -0.0569002 0.000186791 240 30. 0.106184 0.084186 18.8157 26.1283 1 2458204.7955787 267120136 1 63.936558010993 101.329502217732 0.701888528521265 1.00979588687708 182.604844908357 123.184520700698 1.49235226958128 1.15142639465768 null null null null null 2458204.779607 2458506.963553 57
 2 267 10 0 ZTF_g 453282983615 0 2.851 298.73 23.7235 26.132 4.25432e-05 0.0367783 -0.0703208 0.00010847 248 30. 0.057097 0.062096 18.5741 26.132 1 2458207.7829861 267120136 1 55.1389159401921 127.232183697801 0.482076591201322 1.23507555326872 406.755106428685 202.146836787458 2.02572858413636 1.05513560900355 null null null null null 2458204.779607 2458506.963553 57
 3 267 10 0 ZTF_g 453296203615 0 2.4568 298.863 23.8575 26.1227 4.4713e-05 0.0407885 -0.0674531 0.000107502 269 30. 0.054213 0.056267 18.6947 26.1227 1 2458207.7962037 267120136 1 -0.153680252442717 117.731261829043 -0.00145204831634143 1.3445112249903 436.8221635602 198.106551340448 2.21983666359706 1.05778594371566 null null null null null 2458204.779607 2458506.963553 57
 4 267 10 0 ZTF_g 456260873615 0 2.5497 163.987 21.5693 25.4722 9.36168e-05 0.0437852 -0.0402957 0.000247002 167 30. 0.060216 0.06937 18.1134 25.4722 1 2458210.7608796 267120136 1 -52.579567131356 110.799442037605 -0.527878816214209 1.02508457417255 128.577623019339 179.871890122255 0.719643300685258 1.06397787751488 null null null null null 2458204.779607 2458506.963553 57
 5 267 10 0 ZTF_g 456279173615 0 3.0704 195.451 20.9808 25.5878 0.00023124 0.0597464 -0.0282314 0.000673726 148 30. 0.067305 0.080067 18.0983 25.5878 1 2458210.7791782 267120136 1 12.2224704394331 120.448340247265 0.112878954113026 1.12149914513042 260.827165695758 173.620621253898 1.51240013868738 1.09548496809099 null null null null null 2458204.779607 2458506.963553 57
 6 267 10 0 ZTF_r 464218123615 0 2.2298 254.994 9.11683 25.8734 1.20504e-05 0.0361814 0.0947879 2.00814e-05 704 30. 0.063749 0.076796 19.6885 25.8734 1 2458218.718125 267120236 1 32.5150098919137 36.3951956348442 0.993790025241957 3.03663602770205 259.891420143329 65.6686775171556 3.98427094473573 1.04441949016388 null null null null null 2458218.718125 2458573.751887 57
 7 267 10 0 ZTF_r 464239713615 0 2.2018 311.394 7.56065 26.08 6.2912e-06 0.0261239 0.106776 1.04697e-05 704 30. 0.049598 0.058032 20.0998 26.08 1 2458218.7397106 267120236 1 42.420597702851 34.4941928503127 1.36799842508385 3.71600878718073 448.807380645297 61.9696242543632 7.29115481354918 1.04790642623607 null null null null null 2458218.718125 2458573.751887 57
 8 267 10 0 ZTF_g 475162823615 0 4.777 285.024 6.91974 26.1153 3.7592e-05 0.0475225 -0.138441 8.90744e-05 425 30. 0.085282 0.096738 19.4311 26.1153 1 2458229.6628241 267120136 1 -65.1390992039077 60.4697724972957 -1.19827973556562 1.2321651900848 -144.350775088574 75.8908653691328 -1.91489430456688 1.0926750934151 null null null null null 2458204.779607 2458506.963553 57
